"fips","year","percent_unemployed"
2290,"2011",18.4
2290,"2012",17.4
2290,"2013",18.2
2290,"2014",18.9
2290,"2015",18.0
4000,"2007",3.9
4000,"2008",6.2
4000,"2009",9.9
4000,"2010",10.4
4000,"2011",9.5
4000,"2012",8.3
4000,"2013",7.7
4000,"2014",6.8
4000,"2015",6.1
4001,"2007",8.8
4001,"2008",11.6
4001,"2009",15.8
4001,"2010",16.4
4001,"2011",18.5
4001,"2012",19.0
4001,"2013",18.4
4001,"2014",15.7
4001,"2015",13.4
4003,"2007",4.1
4003,"2008",5.9
4003,"2009",8.0
4003,"2010",9.3
4003,"2011",9.5
4003,"2012",9.0
4003,"2013",9.1
4003,"2014",8.3
4003,"2015",7.4
4005,"2007",3.7
4005,"2008",5.6
4005,"2009",8.5
4005,"2010",9.9
4005,"2011",9.5
4005,"2012",8.6
4005,"2013",8.1
4005,"2014",7.1
4005,"2015",6.6
4007,"2007",4.3
4007,"2008",6.5
4007,"2009",11.4
4007,"2010",12.5
4007,"2011",11.6
4007,"2012",10.2
4007,"2013",9.6
4007,"2014",8.3
4007,"2015",8.0
4009,"2007",4.3
4009,"2008",7.1
4009,"2009",15.0
4009,"2010",12.9
4009,"2011",10.0
4009,"2012",8.5
4009,"2013",7.8
4009,"2014",7.5
4009,"2015",7.4
4011,"2007",3.3
4011,"2008",5.3
4011,"2009",18.9
4011,"2010",16.4
4011,"2011",11.0
4011,"2012",8.2
4011,"2013",5.9
4011,"2014",6.5
4011,"2015",7.9
4012,"2007",5.1
4012,"2008",7.7
4012,"2009",9.9
4012,"2010",10.2
4012,"2011",9.8
4012,"2012",8.6
4012,"2013",8.2
4012,"2014",7.6
4012,"2015",7.6
4013,"2007",3.3
4013,"2008",5.4
4013,"2009",9.1
4013,"2010",9.5
4013,"2011",8.6
4013,"2012",7.3
4013,"2013",6.6
4013,"2014",5.8
4013,"2015",5.2
4015,"2007",4.7
4015,"2008",7.7
4015,"2009",11.4
4015,"2010",13.0
4015,"2011",12.3
4015,"2012",11.0
4015,"2013",10.3
4015,"2014",8.7
4015,"2015",8.0
4017,"2007",6.4
4017,"2008",10.1
4017,"2009",15.3
4017,"2010",14.7
4017,"2011",14.8
4017,"2012",14.1
4017,"2013",13.5
4017,"2014",11.1
4017,"2015",9.7
4019,"2007",3.7
4019,"2008",5.8
4019,"2009",9.1
4019,"2010",9.3
4019,"2011",8.5
4019,"2012",7.4
4019,"2013",6.8
4019,"2014",6.0
4019,"2015",5.6
4021,"2007",4.6
4021,"2008",7.4
4021,"2009",12.3
4021,"2010",10.7
4021,"2011",9.8
4021,"2012",8.6
4021,"2013",8.1
4021,"2014",7.1
4021,"2015",6.3
4023,"2007",7.4
4023,"2008",11.0
4023,"2009",15.8
4023,"2010",15.2
4023,"2011",15.5
4023,"2012",15.4
